% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.575	1	1	58	6	1	0	85	0
0.425	1	1	43	6	1	0	85	0
0.733	1	1	74	4	1	0	85	0
0.426	1	1	43	7	1	0	85	0
0.576	1	1	58	7	1	0	85	0
0.734	1	1	74	5	1	0	85	0
0.427	1	1	43	8	1	0	85	0
0.577	1	1	58	8	1	0	85	0
0.735	1	1	74	6	1	0	85	0
0.578	1	1	58	9	1	0	85	0
0.428	1	1	43	9	1	0	85	0
0.736	1	1	74	7	1	0	85	0
0.579	1	1	58	10	1	0	85	0
0.429	1	1	43	10	1	0	85	0
0.737	1	1	74	8	1	0	85	0
0.58	1	1	59	1	1	0	85	0
0.43	1	1	44	1	1	0	85	0
0.738	1	1	74	9	1	0	85	0
0.581	1	1	59	2	1	0	85	0
0.431	1	1	44	2	1	0	85	0
0.739	1	1	74	10	1	0	85	0
0.582	1	1	59	3	1	0	85	0
0.432	1	1	44	3	1	0	85	0
0.583	1	1	59	4	1	0	85	0
0.74	1	1	75	1	1	0	85	0
0.433	1	1	44	4	1	0	85	0
0.584	1	1	59	5	1	0	85	0
0.741	1	1	75	2	1	0	85	0
0.434	1	1	44	5	1	0	85	0
0.585	1	1	59	6	1	0	85	0
0.742	1	1	75	3	1	0	85	0
0.435	1	1	44	6	1	0	85	0
0.586	1	1	59	7	1	0	85	0
0.743	1	1	75	4	1	0	85	0
0.436	1	1	44	7	1	0	85	0
0.587	1	1	59	8	1	0	85	0
0.744	1	1	75	5	1	0	85	0
0.437	1	1	44	8	1	0	85	0
0.588	1	1	59	9	1	0	85	0
0.745	1	1	75	6	1	0	85	0
0.438	1	1	44	9	1	0	85	0
0.589	1	1	59	10	1	0	85	0
0.746	1	1	75	7	1	0	85	0
0.59	1	1	60	1	1	0	85	0
0.439	1	1	44	10	1	0	85	0
0.747	1	1	75	8	1	0	85	0
0.591	1	1	60	2	1	0	85	0
0.748	1	1	75	9	1	0	85	0
0.44	1	1	45	1	1	0	85	0
0.592	1	1	60	3	1	0	85	0
0.441	1	1	45	2	1	0	85	0
0.749	1	1	75	10	1	0	85	0
0.593	1	1	60	4	1	0	85	0
0.442	1	1	45	3	1	0	85	0
0.75	1	1	76	1	1	0	85	0
0.594	1	1	60	5	1	0	85	0
0.443	1	1	45	4	1	0	85	0
0.751	1	1	76	2	1	0	85	0
0.595	1	1	60	6	1	0	85	0
0.444	1	1	45	5	1	0	85	0
0.752	1	1	76	3	1	0	85	0
0.596	1	1	60	7	1	0	85	0
0.445	1	1	45	6	1	0	85	0
0.597	1	1	60	8	1	0	85	0
0.753	1	1	76	4	1	0	85	0
0.446	1	1	45	7	1	0	85	0
0.598	1	1	60	9	1	0	85	0
0.754	1	1	76	5	1	0	85	0
0.447	1	1	45	8	1	0	85	0
0.599	1	1	60	10	1	0	85	0
0.755	1	1	76	6	1	0	85	0
0.448	1	1	45	9	1	0	85	0
0.756	1	1	76	7	1	0	85	0
0.6	1	1	61	1	1	0	85	0
0.757	1	1	76	8	1	0	85	0
0.449	1	1	45	10	1	0	85	0
0.601	1	1	61	2	1	0	85	0
0.758	1	1	76	9	1	0	85	0
0.45	1	1	46	1	1	0	85	0
0.602	1	1	61	3	1	0	85	0
0.759	1	1	76	10	1	0	85	0
0.603	1	1	61	4	1	0	85	0
0.451	1	1	46	2	1	0	85	0
0.604	1	1	61	5	1	0	85	0
0.76	1	1	77	1	1	0	85	0
0.452	1	1	46	3	1	0	85	0
0.605	1	1	61	6	1	0	85	0
0.761	1	1	77	2	1	0	85	0
0.453	1	1	46	4	1	0	85	0
0.606	1	1	61	7	1	0	85	0
0.762	1	1	77	3	1	0	85	0
0.454	1	1	46	5	1	0	85	0
0.607	1	1	61	8	1	0	85	0
0.763	1	1	77	4	1	0	85	0
0.455	1	1	46	6	1	0	85	0
0.608	1	1	61	9	1	0	85	0
0.764	1	1	77	5	1	0	85	0
0.456	1	1	46	7	1	0	85	0
0.609	1	1	61	10	1	0	85	0
0.765	1	1	77	6	1	0	85	0
0.457	1	1	46	8	1	0	85	0
0.61	1	1	62	1	1	0	85	0
0.458	1	1	46	9	1	0	85	0
0.766	1	1	77	7	1	0	85	0
0.611	1	1	62	2	1	0	85	0
0.767	1	1	77	8	1	0	85	0
0.459	1	1	46	10	1	0	85	0
0.612	1	1	62	3	1	0	85	0
0.46	1	1	47	1	1	0	85	0
0.768	1	1	77	9	1	0	85	0
0.613	1	1	62	4	1	0	85	0
0.461	1	1	47	2	1	0	85	0
0.614	1	1	62	5	1	0	85	0
0.462	1	1	47	3	1	0	85	0
0.615	1	1	62	6	1	0	85	0
0.769	1	1	77	10	1	0	85	0
0.616	1	1	62	7	1	0	85	0
0.463	1	1	47	4	1	0	85	0
0.77	1	1	78	1	1	0	85	0
0.464	1	1	47	5	1	0	85	0
0.617	1	1	62	8	1	0	85	0
0.771	1	1	78	2	1	0	85	0
0.618	1	1	62	9	1	0	85	0
0.465	1	1	47	6	1	0	85	0
0.772	1	1	78	3	1	0	85	0
0.619	1	1	62	10	1	0	85	0
0.466	1	1	47	7	1	0	85	0
0.773	1	1	78	4	1	0	85	0
0.62	1	1	63	1	1	0	85	0
0.467	1	1	47	8	1	0	85	0
0.774	1	1	78	5	1	0	85	0
0.621	1	1	63	2	1	0	85	0
0.468	1	1	47	9	1	0	85	0
0.775	1	1	78	6	1	0	85	0
0.622	1	1	63	3	1	0	85	0
0.469	1	1	47	10	1	0	85	0
0.623	1	1	63	4	1	0	85	0
0.776	1	1	78	7	1	0	85	0
0.47	1	1	48	1	1	0	85	0
0.777	1	1	78	8	1	0	85	0
0.624	1	1	63	5	1	0	85	0
0.471	1	1	48	2	1	0	85	0
0.778	1	1	78	9	1	0	85	0
0.625	1	1	63	6	1	0	85	0
0.472	1	1	48	3	1	0	85	0
0.626	1	1	63	7	1	0	85	0
0.779	1	1	78	10	1	0	85	0
0.473	1	1	48	4	1	0	85	0
0.627	1	1	63	8	1	0	85	0
0.78	1	1	79	1	1	0	85	0
0.474	1	1	48	5	1	0	85	0
0.628	1	1	63	9	1	0	85	0
0.781	1	1	79	2	1	0	85	0
0.629	1	1	63	10	1	0	85	0
0.475	1	1	48	6	1	0	85	0
0.782	1	1	79	3	1	0	85	0
0.63	1	1	64	1	1	0	85	0
0.476	1	1	48	7	1	0	85	0
0.783	1	1	79	4	1	0	85	0
0.631	1	1	64	2	1	0	85	0
0.477	1	1	48	8	1	0	85	0
0.784	1	1	79	5	1	0	85	0
0.632	1	1	64	3	1	0	85	0
0.478	1	1	48	9	1	0	85	0
0.785	1	1	79	6	1	0	85	0
0.633	1	1	64	4	1	0	85	0
0.479	1	1	48	10	1	0	85	0
0.786	1	1	79	7	1	0	85	0
0.634	1	1	64	5	1	0	85	0
0.48	1	1	49	1	1	0	85	0
0.787	1	1	79	8	1	0	85	0
0.635	1	1	64	6	1	0	85	0
0.481	1	1	49	2	1	0	85	0
0.788	1	1	79	9	1	0	85	0
0.636	1	1	64	7	1	0	85	0
0.482	1	1	49	3	1	0	85	0
0.789	1	1	79	10	1	0	85	0
0.637	1	1	64	8	1	0	85	0
0.483	1	1	49	4	1	0	85	0
0.79	1	1	80	1	1	0	85	0
0.638	1	1	64	9	1	0	85	0
0.484	1	1	49	5	1	0	85	0
0.791	1	1	80	2	1	0	85	0
0.639	1	1	64	10	1	0	85	0
0.485	1	1	49	6	1	0	85	0
0.792	1	1	80	3	1	0	85	0
0.64	1	1	65	1	1	0	85	0
0.793	1	1	80	4	1	0	85	0
0.486	1	1	49	7	1	0	85	0
0.641	1	1	65	2	1	0	85	0
0.487	1	1	49	8	1	0	85	0
0.794	1	1	80	5	1	0	85	0
0.642	1	1	65	3	1	0	85	0
0.795	1	1	80	6	1	0	85	0
0.488	1	1	49	9	1	0	85	0
0.643	1	1	65	4	1	0	85	0
0.796	1	1	80	7	1	0	85	0
0.489	1	1	49	10	1	0	85	0
0.644	1	1	65	5	1	0	85	0
0.797	1	1	80	8	1	0	85	0
0.49	1	1	50	1	1	0	85	0
0.645	1	1	65	6	1	0	85	0
0.798	1	1	80	9	1	0	85	0
0.646	1	1	65	7	1	0	85	0
0.491	1	1	50	2	1	0	85	0
0.647	1	1	65	8	1	0	85	0
0.799	1	1	80	10	1	0	85	0
0.492	1	1	50	3	1	0	85	0
0.648	1	1	65	9	1	0	85	0
0.8	1	1	81	1	1	0	85	0
0.493	1	1	50	4	1	0	85	0
0.649	1	1	65	10	1	0	85	0
0.494	1	1	50	5	1	0	85	0
0.801	1	1	81	2	1	0	85	0
0.65	1	1	66	1	1	0	85	0
0.495	1	1	50	6	1	0	85	0
0.802	1	1	81	3	1	0	85	0
0.651	1	1	66	2	1	0	85	0
0.496	1	1	50	7	1	0	85	0
0.803	1	1	81	4	1	0	85	0
0.652	1	1	66	3	1	0	85	0
0.497	1	1	50	8	1	0	85	0
0.804	1	1	81	5	1	0	85	0
0.653	1	1	66	4	1	0	85	0
0.498	1	1	50	9	1	0	85	0
0.805	1	1	81	6	1	0	85	0
0.654	1	1	66	5	1	0	85	0
0.499	1	1	50	10	1	0	85	0
0.806	1	1	81	7	1	0	85	0
0.655	1	1	66	6	1	0	85	0
0.807	1	1	81	8	1	0	85	0
0.5	1	1	51	1	1	0	85	0
0.656	1	1	66	7	1	0	85	0
0.808	1	1	81	9	1	0	85	0
0.501	1	1	51	2	1	0	85	0
0.657	1	1	66	8	1	0	85	0
0.809	1	1	81	10	1	0	85	0
0.502	1	1	51	3	1	0	85	0
0.658	1	1	66	9	1	0	85	0
0.81	1	1	82	1	1	0	85	0
0.659	1	1	66	10	1	0	85	0
0.503	1	1	51	4	1	0	85	0
0.66	1	1	67	1	1	0	85	0
0.504	1	1	51	5	1	0	85	0
0.811	1	1	82	2	1	0	85	0
0.505	1	1	51	6	1	0	85	0
0.812	1	1	82	3	1	0	85	0
0.661	1	1	67	2	1	0	85	0
0.662	1	1	67	3	1	0	85	0
0.813	1	1	82	4	1	0	85	0
0.506	1	1	51	7	1	0	85	0
0.663	1	1	67	4	1	0	85	0
0.814	1	1	82	5	1	0	85	0
0.507	1	1	51	8	1	0	85	0
0.664	1	1	67	5	1	0	85	0
0.815	1	1	82	6	1	0	85	0
0.508	1	1	51	9	1	0	85	0
0.816	1	1	82	7	1	0	85	0
0.509	1	1	51	10	1	0	85	0
0.665	1	1	67	6	1	0	85	0
0.666	1	1	67	7	1	0	85	0
0.817	1	1	82	8	1	0	85	0
0.51	1	1	52	1	1	0	85	0
