% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.159	1	0	16	10	4	2	26	0
0.159	1	0	16	10	6	28	469	0
0.16	1	0	17	1	1	14	157	0
0.16	1	0	17	1	2	8	85	0
0.16	1	0	17	1	3	12	125	0
0.16	1	0	17	1	4	2	26	0
0.16	1	0	17	1	6	28	469	0
0.161	1	0	17	2	1	14	157	0
0.161	1	0	17	2	2	8	85	0
0.161	1	0	17	2	3	12	125	0
0.161	1	0	17	2	4	2	26	0
0.161	1	0	17	2	6	28	469	0
0.162	1	0	17	3	1	14	157	0
0.162	1	0	17	3	2	8	85	0
0.162	1	0	17	3	3	12	125	0
0.162	1	0	17	3	4	2	26	0
0.162	1	0	17	3	6	28	469	0
0.163	1	0	17	4	1	14	157	0
0.163	1	0	17	4	2	8	85	0
0.163	1	0	17	4	3	12	125	0
0.163	1	0	17	4	4	2	26	0
0.163	1	0	17	4	6	28	469	0
0.164	1	0	17	5	1	14	157	0
0.164	1	0	17	5	2	8	85	0
0.164	1	0	17	5	3	12	125	0
0.164	1	0	17	5	4	2	26	0
0.164	1	0	17	5	6	28	469	0
0.165	1	0	17	6	1	14	157	0
0.165	1	0	17	6	2	8	85	0
0.165	1	0	17	6	3	12	125	0
0.165	1	0	17	6	4	2	26	0
0.165	1	0	17	6	6	28	469	0
0.166	1	0	17	7	1	14	157	0
0.166	1	0	17	7	2	8	85	0
0.166	1	0	17	7	3	12	125	0
0.166	1	0	17	7	4	2	26	0
0.166	1	0	17	7	6	28	469	0
0.167	1	0	17	8	1	14	157	0
0.167	1	0	17	8	2	8	85	0
0.167	1	0	17	8	3	12	125	0
0.167	1	0	17	8	4	2	26	0
0.167	1	0	17	8	6	28	469	0
0.168	1	0	17	9	1	14	157	0
0.168	1	0	17	9	2	8	85	0
0.168	1	0	17	9	3	12	125	0
0.168	1	0	17	9	4	2	26	0
0.168	1	0	17	9	6	28	469	0
0.169	1	0	17	10	1	14	157	0
0.169	1	0	17	10	2	8	85	0
0.169	1	0	17	10	3	12	125	0
0.169	1	0	17	10	4	2	26	0
0.169	1	0	17	10	6	28	469	0
0.17	1	0	18	1	1	14	157	0
0.17	1	0	18	1	2	8	85	0
0.17	1	0	18	1	3	12	125	0
0.17	1	0	18	1	4	2	26	0
0.17	1	0	18	1	6	28	469	0
0.171	1	0	18	2	1	14	157	0
0.171	1	0	18	2	2	8	85	0
0.171	1	0	18	2	3	12	125	0
0.171	1	0	18	2	4	2	26	0
0.171	1	0	18	2	6	28	469	0
0.172	1	0	18	3	1	14	157	0
0.172	1	0	18	3	2	8	85	0
0.172	1	0	18	3	3	12	125	0
0.172	1	0	18	3	4	2	26	0
0.172	1	0	18	3	6	28	469	0
