% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2	ccId
0.246	1	7	25	7	1	8	421	0	0	1
0.247	1	8	25	8	2	8	421	0	0	0
0.247	1	8	25	8	2	8	421	0	0	1
0.248	1	13	25	9	3	8	421	0	0	0
0.248	1	13	25	9	3	8	421	0	0	1
0.249	1	5	25	10	4	8	421	0	0	0
0.249	1	5	25	10	4	8	421	0	0	1
0.25	1	11	26	1	9	8	421	0	0	0
0.25	1	11	26	1	9	8	421	0	0	1
0.251	1	3	26	2	10	8	421	0	0	0
0.251	1	3	26	2	10	8	421	0	0	1
0.252	1	2	26	3	11	8	421	0	0	0
0.252	1	2	26	3	11	8	421	0	0	1
0.253	1	6	26	4	12	8	421	0	0	0
0.253	1	6	26	4	12	8	421	0	0	1
0.254	1	15	26	5	18	8	421	0	0	0
0.254	1	15	26	5	18	8	421	0	0	1
0.255	1	14	26	6	19	8	421	0	0	0
0.255	1	14	26	6	19	8	421	0	0	1
0.256	1	12	26	7	20	8	421	0	0	0
0.256	1	12	26	7	20	8	421	0	0	1
0.257	1	9	26	8	21	8	421	0	0	0
0.257	1	9	26	8	21	8	421	0	0	1
0.258	1	4	26	9	22	8	421	0	0	0
0.258	1	4	26	9	22	8	421	0	0	1
0.259	1	10	26	10	23	8	421	0	0	0
0.259	1	10	26	10	23	8	421	0	0	1
0.26	1	1	27	1	24	8	421	0	0	0
0.26	1	1	27	1	24	8	421	0	0	1
0.261	1	7	27	2	1	8	421	0	0	0
0.261	1	7	27	2	1	8	421	0	0	1
0.262	1	8	27	3	2	8	421	0	0	0
0.262	1	8	27	3	2	8	421	0	0	1
0.263	1	13	27	4	3	8	421	0	0	0
0.263	1	13	27	4	3	8	421	0	0	1
0.264	1	5	27	5	4	8	421	0	0	0
0.264	1	5	27	5	4	8	421	0	0	1
0.265	1	11	27	6	9	8	421	0	0	0
0.265	1	11	27	6	9	8	421	0	0	1
0.266	1	3	27	7	10	8	421	0	0	0
0.266	1	3	27	7	10	8	421	0	0	1
0.267	1	2	27	8	11	8	421	0	0	0
0.267	1	2	27	8	11	8	421	0	0	1
0.268	1	6	27	9	12	8	421	0	0	0
0.268	1	6	27	9	12	8	421	0	0	1
0.269	1	15	27	10	18	8	421	0	0	0
0.269	1	15	27	10	18	8	421	0	0	1
0.27	1	14	28	1	19	8	421	0	0	0
