% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	ccId
75	1	5	4	0	2	18	0	1	0
75	1	6	12	0	2	18	0	1	0
75	1	7	1	0	2	18	0	1	0
75	1	8	2	0	2	18	0	1	0
75	1	11	9	0	2	18	0	1	0
75	1	13	3	0	2	18	0	1	0
75	2	5	4	0	2	18	0	1	1
75	2	7	1	0	2	18	0	1	1
75	2	8	2	0	2	18	0	1	1
75	2	13	3	0	2	18	0	1	1
75	2	3	10	0	2	18	0	1	1
75	2	11	9	0	2	18	0	1	1
75	2	1	24	0	2	18	0	1	1
75	2	10	23	0	2	18	0	1	1
76	1	1	24	0	2	18	0	1	0
76	1	4	22	0	2	18	0	1	0
76	1	7	1	0	2	18	0	1	0
76	1	9	21	0	2	18	0	1	0
76	1	10	23	0	2	18	0	1	0
76	1	12	20	0	2	18	0	1	0
76	1	14	19	0	2	18	0	1	0
76	1	15	18	0	2	18	0	1	0
76	2	2	11	0	2	18	0	1	1
76	2	6	12	0	2	18	0	1	1
76	2	9	21	0	2	18	0	1	1
76	2	12	20	0	2	18	0	1	1
76	2	14	19	0	2	18	0	1	1
76	2	15	18	0	2	18	0	1	1
76	2	4	22	0	2	18	0	1	1
76	2	10	23	0	2	18	0	1	1
77	1	2	11	0	2	18	0	1	0
77	1	3	10	0	2	18	0	1	0
77	1	5	4	0	2	18	0	1	0
77	1	6	12	0	2	18	0	1	0
77	1	8	2	0	2	18	0	1	0
77	1	11	9	0	2	18	0	1	0
77	1	13	3	0	2	18	0	1	0
77	1	15	18	0	2	18	0	1	0
77	2	5	4	0	2	18	0	1	1
77	2	7	1	0	2	18	0	1	1
77	2	8	2	0	2	18	0	1	1
77	2	13	3	0	2	18	0	1	1
77	2	2	11	0	2	18	0	1	1
77	2	3	10	0	2	18	0	1	1
77	2	11	9	0	2	18	0	1	1
77	2	1	24	0	2	18	0	1	1
78	1	1	24	0	2	18	0	1	0
78	1	4	22	0	2	18	0	1	0
78	1	7	1	0	2	18	0	1	0
78	1	8	2	0	2	18	0	1	0
